Sales Person,Country,Product,Date,Amount ($),Boxes Shipped
Lucas Verma,Canada,Aloe Vera Gel,2022-04-30,7897.13,358
Ethan Reddy,UK,Aloe Vera Gel,2022-01-25,16376.88,449
Ananya Gupta,India,Body Butter Cream,2022-08-22,5599.68,264
Ananya Gupta,New Zealand,Salicylic Acid Cleanser,2022-08-26,2966.47,144
Sophia Nair,UK,Body Butter Cream,2022-05-19,6828.68,484
Ananya Gupta,UK,Lip Balm Pack,2022-08-27,2555.95,192
Ananya Gupta,New Zealand,Rose Water Toner,2022-04-29,832.92,19
Sophia Nair,New Zealand,Tea Tree Moisturizer,2022-07-15,997.96,36
Isabella Roy,New Zealand,Lip Balm Pack,2022-02-04,7754.36,466
Noah Mehta,India,Aloe Vera Gel,2022-05-16,5507.19,176
Olivia D'Souza,Australia,Body Butter Cream,2022-01-27,1119.66,87
Sophia Nair,USA,Face Sheet Masks,2022-06-02,6853.59,384
Ava Sharma,USA,Hair Repair Oil,2022-04-06,12147.98,254
Lucas Verma,New Zealand,Aloe Vera Gel,2022-07-26,923.46,79
Ava Sharma,Canada,Salicylic Acid Cleanser,2022-01-10,442.07,24
Liam Patel,Canada,Aloe Vera Gel,2022-01-04,3900.37,83
Ava Sharma,New Zealand,Body Butter Cream,2022-06-02,801.63,25
Isabella Roy,India,Aloe Vera Gel,2022-03-03,10101.78,251
Sophia Nair,Canada,Vitamin C Cream,2022-05-29,6600.15,417
Lucas Verma,USA,Niacinamide Toner,2022-05-28,5302.98,258
Noah Mehta,UK,Under Eye Cream,2022-08-02,6310.09,257
Noah Mehta,Canada,Hydrating Face Serum,2022-07-17,2369.18,211
Sophia Nair,UK,Aloe Vera Gel,2022-05-14,16418.97,358
Olivia D'Souza,New Zealand,Vitamin C Cream,2022-01-15,10774.83,226
Sophia Nair,Australia,Niacinamide Toner,2022-04-13,5958.48,162
Olivia D'Souza,USA,Tea Tree Moisturizer,2022-07-22,1194.96,74
Isabella Roy,Australia,Charcoal Face Wash,2022-04-11,314.68,18
Mason Kapoor,Australia,Anti-Aging Serum,2022-06-18,1442.65,91
Liam Patel,USA,Under Eye Cream,2022-06-12,2810.34,78
